  26/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  26/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  27/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  27/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  28/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  28/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  29/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  29/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  30/06/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  30/06/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  01/07/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  01/07/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  02/07/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  02/07/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  03/07/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  03/07/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  04/07/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  04/07/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  05/07/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  05/07/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  06/07/1876,     06 07,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  06/07/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  07/07/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  07/07/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  08/07/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  08/07/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  09/07/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  09/07/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  10/07/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  10/07/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  11/07/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  11/07/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  12/07/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  12/07/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  13/07/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  13/07/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  14/07/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  14/07/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  15/07/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  15/07/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  16/07/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  16/07/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  17/07/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  17/07/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  18/07/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  18/07/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  19/07/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  19/07/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  20/07/1876,        NA,        NA,37.8,-122.4,            san francisco,            san francisco,
  20/07/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  21/07/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  21/07/1876,   36 52 N,  123 20 W,        NA,        NA,                       NA,                       NA,
  22/07/1876,        NA,        NA,        NA,        NA,                   at sea,                       NA,
  22/07/1876,   34 47 N,  125 02 W,        NA,        NA,                       NA,                       NA,
  23/07/1876,        NA,        NA,        NA,        NA,                   at sea,                       NA,
  23/07/1876,   32 57 N,  126 24 W,        NA,        NA,                       NA,                       NA,
  24/07/1876,        NA,        NA,        NA,        NA,                   at sea,                       NA,
  24/07/1876,   31 23 N,  128 02 W,        NA,        NA,                       NA,                       NA,
  25/07/1876,        NA,        NA,        NA,        NA,                   at sea,                       NA,
  25/07/1876,   29 51 N,  129 40 W,        NA,        NA,                       NA,                       NA,
  26/07/1876,        NA,        NA,        NA,        NA,                   at sea,                       NA,
  26/07/1876,   28 32 N,  131 22 W,        NA,        NA,                       NA,                       NA,
  27/07/1876,        NA,        NA,        NA,        NA,                   at sea,                       NA,
  27/07/1876,   27 11 N,  133 11 W,        NA,        NA,                       NA,                       NA,
  28/07/1876,        NA,        NA,        NA,        NA,                   at sea,                       NA,
  28/07/1876,     25 29,    135 04,        NA,        NA,                       NA,                       NA,
  29/07/1876,        NA,        NA,        NA,        NA,                   at sea,                       NA,
  29/07/1876,   24 34 N,  137 50 W,        NA,        NA,                       NA,                       NA,
  30/07/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  30/07/1876,   24 09 N,  140 55 W,        NA,        NA,                       NA,                       NA,
  31/07/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  31/07/1876,   23 44 N,  143 38 W,        NA,        NA,                       NA,                       NA,
  01/08/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  01/08/1876,   23 09 N,  146 05 W,        NA,        NA,                       NA,                       NA,
  02/08/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  02/08/1876,     22 42,    148 21,        NA,        NA,                       NA,                       NA,
  03/08/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  03/08/1876,   22 26 N,  149 50 W,        NA,        NA,                       NA,                       NA,
  04/08/1876,        NA,        NA,        NA,        NA,                   at sea,                       NA,
  04/08/1876,   22 14 N,  150 39 W,        NA,        NA,                       NA,                       NA,
  05/08/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  05/08/1876,   21 54 N,  151 37 W,        NA,        NA,                       NA,                       NA,
  06/08/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  06/08/1876,   21 48 N,  152 49 W,        NA,        NA,                       NA,                       NA,
  07/08/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  07/08/1876,   21 36 N,  154 39 W,        NA,        NA,                       NA,                       NA,
  08/08/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  08/08/1876,   21 25 N,  156 10 W,        NA,        NA,                       NA,                       NA,
  09/08/1876,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific
  09/08/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  10/08/1876,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,
  10/08/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  11/08/1876,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,
  11/08/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  12/08/1876,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,
  12/08/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  13/08/1876,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,
  13/08/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  14/08/1876,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,
  14/08/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  15/08/1876,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,
  15/08/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  16/08/1876,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,
  16/08/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  17/08/1876,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,
