          NA	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  09/09/1870	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  10/09/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  11/09/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  12/09/1890	        NA	        NA	      54.1	    -165.8	    akoutan harbor alaska	                   akutan	
  13/09/1890	        NA	        NA	      54.1	    -165.8	    akoutan harbor alaska	                   akutan	
  13/09/1890	        NA	        NA	      55.1	    -161.9	          moss cape nnw 4	                moss cape	
  14/09/1890	        NA	        NA	      54.7	    -163.1	east anchorage cape pankoff	              cape pankof	
  15/09/1890	        NA	        NA	      57.4	    -152.3	  coal harbor unga island	              ugak island	
  15/09/1890	   55 22 N	  156 35 W	        NA	        NA	                     noon	                       NA	
  16/09/1890	        NA	        NA	      57.8	    -152.4	cape barnabar kadiak id nwxw  10	                   kodiak	
  17/09/1890	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  18/09/1890	   57 39 N	  150 52 W	        NA	        NA	                     noon	                       NA	
  19/09/1890	   57 40 N	  148 10 W	        NA	        NA	                     noon	                       NA	
  20/09/1890	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  20/09/1890	   57 22 N	  146 23 W	        NA	        NA	                     noon	                       NA	
  21/09/1890	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  21/09/1890	   57 02 N	  140 48 W	        NA	        NA	                       NA	                       NA	
  22/09/1890	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  23/09/1890	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  23/09/1890	   56 53 N	  136 42 W	        NA	        NA	                       NA	                       NA	
  24/09/1890	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  24/09/1890	        NA	        NA	      57.0	     -135.4	             sitka alaska	                    sitka	
  25/09/1890	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  30/09/1890	        NA	        NA	      56.5	    -132.4	  wrangell narrows alaska	                 wrangell	
  01/10/1890	        NA	        NA	      56.5	    -132.4	off mouth of wrangell narrows alaska	                 wrangell	
  02/10/1890	        NA	        NA	      56.0	    -132.6	          clarence strait	          clarence strait	
  04/10/1890	        NA	        NA	      53.5	    -129.6	            lowe inlet bc	               lowe inlet	
   05/10/1890	        NA	        NA	    51.5  	    -127.9	safety cove calvert island bc	              safety cove	
   7/10/1890	        NA	        NA	    51.5  	    -127.9	           safety cove bc	              safety cove	
   7/10/1890	        NA	        NA	    50.0  	    -125.2	             cape  exn  9	               cape mudge	
  08/10/1890	        NA	        NA	    50.0  	    -125.3	           beaver cove bc	            chatham point	
  09/10/1890	        NA	        NA	      49.3	    -123.8	       straits of georgia	        strait of georgia	
  09/10/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  10/10/1890	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  11/10/1890	        NA	        NA	      48.1	    -122.8	 port townsend washington	            port townsend	
  11/10/1890	   46 55 N	  125 12 W	        NA	        NA	                       NA	                       NA	
  12/10/1890	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  12/10/1890	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/10/1890	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  27/05/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/05/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/05/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/05/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
