  19/05/1895,        NA,        NA,22.6,59.5,brid rocks rosario straits bearing ssw 1 mile,                      sur,rosario strait,48.5N,122.75W
  26/05/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  26/05/1910,   56 08 N,  154 35 W,        NA,        NA,           kaguyak alaska,                       NA,,,
  27/05/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  27/05/1910,        NA,        NA,55.2,-131.3,lt ho rocks swxw 34 w 22 miles,          chirikof island,,,
  28/05/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/05/1910,   55 04 N,  158 51 W,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  29/05/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  29/05/1910,   54 18 N,  163 18 W,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  30/05/1910,        NA,        NA,        NA,        NA,            unimak island,                       NA,,,
  30/05/1910,   59 20 N,  165 59 W,        NA,        NA, off unimak island alaska,                       NA,,,
  31/05/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  31/05/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  31/05/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  31/05/1910,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  01/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/06/1910,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  02/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  02/06/1910,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  03/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  03/06/1910,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  04/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  04/06/1910,        NA,        NA,53.4,-167.6,        chernofski alaska,               chernofski,,,
  05/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  05/06/1910,        NA,        NA,53.5,-168.2,        chernofski alaska,               chernofski,,,
  06/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  06/06/1910,   52 33 N,  172 00 W,        NA,        NA,                       NA,                       NA,,,
  07/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  07/06/1910,        NA,        NA,26.1,119.9, hazan atka island alaska,             matsa island,atka island,,
  08/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  08/06/1910,   52 22 N,  176 51 W,55,166.3,        bering sea alaska,                  behring,,,
  09/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  09/06/1910,     52 32,    177 12,        NA,        NA,                       NA,                       NA,,,
  10/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/06/1910,        NA,        NA,52.1,-174.4,chicagof attu island alaska,              atka island,attu island,,
  11/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  11/06/1910,        NA,        NA,52.1,-174.4,chicagof attu island alaska,              atka island,attu island,,
  12/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  12/06/1910,   52 16 N,  178 43 E,        NA,        NA,                       NA,                       NA,,,
  13/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  13/06/1910,        NA,        NA,        NA,        NA,cape korovin atka ese12e 7 miles,                       NA,atka island,,
  14/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  14/06/1910,   53 33 N,  168 23 W,        NA,        NA,                       NA,                       NA,,,
  15/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  15/06/1910,        NA,        NA,59.9,10.8,bogoslof island wsw 90 miles,                     oslo,bogoslof island,,
  16/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  16/06/1910,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  17/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  17/06/1910,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  18/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  18/06/1910,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  19/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  19/06/1910,   54 15 N,  166 49 W,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  20/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  20/06/1910,   56 11 N,  169 00 W,        NA,        NA,                       NA,                       NA,,,
  21/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  21/06/1910,        NA,        NA,56.6,-169.6,garden cove st george island,         st george island,,,
  22/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  22/06/1910,        NA,        NA,57.1,-170.3,village cove st paul island,           st paul island,,,
  23/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  23/06/1910,        NA,        NA,56.6,-170.3,village cove st paul island,          north anchorage,st paul island,,
  24/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  24/06/1910,        NA,        NA,56.6,-170.3,halfway point st paul island wxn 30 miles,          north anchorage,st paul island,,
  25/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  25/06/1910,        NA,        NA,56.6,-170.3,north anchorage st paul island,          north anchorage,st paul island,,
  26/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  26/06/1910,        NA,        NA,56.6,-170.3,village cove st paul island,           st paul island,,,
  27/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  27/06/1910,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  28/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/06/1910,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  29/06/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  29/06/1910,        NA,        NA,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
   30/6/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   30/6/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   30/6/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   30/6/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   30/6/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   30/6/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   30/6/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   30/6/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   30/6/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   30/6/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/01/1910,        NA,        NA,33.7,-170.3,     san pedro california,                  st paul,san pedro california,,
  01/01/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/01/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/01/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/01/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/01/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/01/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/01/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
  01/01/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/01/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
  02/01/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  02/01/1910,        NA,        NA,32.7,-117.2,     san diego california,            san diego usa,,,
  03/01/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  03/01/1910,   32 51 N,  117 27 W,32.7,-117.2,     san diego california,            san diego usa,,,
  04/01/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  04/01/1910,        NA,        NA,35.9,-5.3,gulf of santa catalina california,                   almina,santa catalina island,,
    5/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    5/1/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
  06/01/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  06/01/1910,   33 22 N,  117 48 W,33.8,-118.2,    long beach california,               long beach,,,
    7/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    7/1/1910,        NA,        NA,32.7,-117.2,     san diego california,            san diego usa,,,
    8/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    8/1/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
    9/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    9/1/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
   10/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   10/1/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   11/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   11/1/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   12/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   12/1/1910,        NA,        NA,33.8,-118.2,           long beach cal,               long beach,,,
   13/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   13/1/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
   14/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   14/1/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   15/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   15/1/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   16/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   16/1/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   17/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   17/1/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   18/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   18/1/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   19/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   19/1/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   20/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   20/1/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   21/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   21/1/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   22/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   22/1/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   23/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   23/1/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   24/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   24/1/1910,        NA,        NA,35.9,-5.3,west end catalina id ssw 5 mi,                   almina,santa catalina island,,
   25/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   25/1/1910,        NA,        NA,22.4,114.3,catalina harbor california,            san francisco,santa catalina island,,
   26/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   26/2/1910,     33 49,    118 52,        NA,        NA,smugglers cove santa cruz island,                       NA,,,
   27/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   27/1/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
   28/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   28/1/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   29/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   29/1/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   30/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   30/1/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   31/1/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   31/1/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
    1/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    1/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
    2/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    2/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
    3/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    3/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
    4/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    4/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
    5/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    5/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
    6/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    6/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
    7/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    7/2/1910,        NA,        NA,35.9,-5.3,west end catalina id ssw 95 mi,                   almina,santa catalina island,,
    8/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    8/2/1910,        NA,        NA,16.8,-25,pt vincente cal nxw12w 76 mi,               st vincent,point vincente light,,
    9/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    9/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   10/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   10/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   11/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   11/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   12/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   12/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   13/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   13/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   14/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   14/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   15/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   15/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   16/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   16/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   17/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   17/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   18/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   18/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   19/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   19/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   19/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   19/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   20/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   20/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   21/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   21/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   22/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   22/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   23/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   23/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   24/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   24/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   25/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   25/2/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   26/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   26/2/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
   27/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   27/2/1910,     33 36,    118 43,33.8,-118.2,    long beach california,               long beach,,,
   28/2/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   28/2/1910,        NA,        NA,32.7,115.2,    point loma california,            san diego usa,new point loma lighthouse,,
    1/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    1/3/1910,        NA,        NA,22.4,-117.2,     san diego california,            san diego usa,,,
    2/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    2/3/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
    3/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    3/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
    4/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    4/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
    5/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    5/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
    6/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    6/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
    7/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    7/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
    8/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    8/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
    9/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    9/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   10/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   10/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   11/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   11/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   12/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   12/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   13/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   13/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   14/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   14/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   15/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   15/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   15/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   15/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   17/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   17/3/1910,        NA,        NA,33.7,-118.3, pt fermim lt ho nw 45 mi,          san pedro calif,,,
   18/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   18/3/1910,        NA,        NA,37.5,8.9,   avalon catalina island,            galita island,santa catalina island,,
   19/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   19/3/1910,        NA,        NA,37.5,8.9,   avalon catalina island,            galita island,santa catalina island,,
   20/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   20/3/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
   21/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   21/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   22/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   22/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   23/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   23/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   24/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   24/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   25/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   25/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   26/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   26/3/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
   27/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   27/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   28/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   28/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   29/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   29/3/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
   30/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   30/3/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
   31/3/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   31/3/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
    1/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    1/4/1910,        NA,        NA,33.8,-118.2,           long beach cal,               long beach,,,
    2/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    2/4/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
    3/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    3/4/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
    4/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    4/4/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
    5/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    5/4/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
    6/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    6/4/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
    7/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    7/4/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
    8/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    8/4/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
    9/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    9/4/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
   10/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   10/4/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
   11/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   11/4/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   12/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   12/4/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   13/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   13/4/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   14/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   14/4/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   15/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   15/4/1910,        NA,        NA,33.8,-118.2,           long beach cal,               long beach,,,
   16/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   16/4/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
   17/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   17/4/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
   18/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   18/4/1910,        NA,        NA,33.8,-118.2,    long beach california,               long beach,,,
   19/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   19/4/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   20/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   20/4/1910,        NA,        NA,33.7,-118.3,     san pedro california,          san pedro calif,,,
   21/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   21/4/1910,        NA,        NA,16.8,-118.3,pt vincente buoy exs 47 miles,               st vincent,point vincente light,,
   22/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   22/4/1910,   35 48 N,  121 40 W,30.5,47.9,    santa barbara channel,                    basra,santa barbara channel,,
   23/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   23/4/1910,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,,,
   24/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   24/4/1910,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,,,
   25/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   25/4/1910,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,,,
   26/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   26/4/1910,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,,,
   27/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   27/4/1910,        NA,        NA,38.1,-122.3,   mare island california,              mare island,,,
   28/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   28/4/1910,        NA,        NA,38.1,-122.3,   mare island california,              mare island,,,
   29/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   29/4/1910,        NA,        NA,38.1,-122.3,   mare island california,        san francisco bay,,,
   30/4/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   30/4/1910,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,,,
    1/5/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    1/5/1910,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,,,
    2/5/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    2/5/1910,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,,,
    3/5/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    3/5/1910,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,,,
    4/5/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    4/5/1910,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,,,
    5/5/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    5/5/1910,     39 47,  124 38 W,        NA,        NA,                       NA,                       NA,,,
    6/5/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    6/5/1910,   43 39 N,    124 20,        NA,        NA,                       NA,                       NA,,,
    7/5/1910,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    7/5/1910,     46 39,    124 35,        NA,        NA,                       NA,                       NA,,,
