          NA,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  14/08/1886,,,43.1,-127.9,               cape henry,               fog island,cape henry,36 55 29.3N,0001-03-28
  14/08/1886,,,37,-6,             chispers bay,           chesapeake bay,chesapeake bay,,
    15/08/1886,,,,,,,,,
    15/08/1886,,,,,  at anchor in lyn ho bay,,,,
   16/8/1886,,,,,,,,,
   16/8/1886,,,,,,,,,
  17/08/1884,,,,,,,,,
  17/08/1884,,,37,-76.3,            hampton roads,            hampton roads,,,
   18/8/1886,,,,,,,,,
   18/8/1886,,,56.2,-3,at anchor off old point comfort va,                    forth,old point comfort,37 00 02N,0001-10-15
"Thursday, Aug 19, 1886",,,,,,,,,
"Thursday, Aug 19, 1886",,,56.2,-3,at anchor off old point comfort va,                    forth,old point comfort,,
   20/8/1886,,,,,,,,,
   20/8/1886,,,30,48.5,at anchor off old pt crawford va,                      fao,old point comfort,,
  21/08/1884,,,,,,,,,
  21/08/1884,,,56.2,-3,at anchor off old point comfort va,                    forth,old point comfort,,
  22/08/1886,,,,,,,,,
  22/08/1886,,,37,-76.3,            hampton roads,            hampton roads,,,
  23/08/1886,,,,,,,,,
  23/08/1886,,,56.2,-3,at anchor off old point comfort va,                    forth,old point comfort,,
   24/8/1886,,,,,,,,,
   24/8/1886,,,37,-76.3,at achor in hampton roads,            hampton roads,,,
   25/8/1886,,,,,,,,,
   25/8/1886,,,37,-76,           chesapeake bay,           chesapeake bay,,,
   26/8/1886,,,37,-76,  rappahannock spit light,                    pahua,windmill point light virginia,37.5968N,0002-06-18
   26/8/1886,,,42.2,41.7,          annapolis roads,                     poti,annapolis maryland,,
  27/08/1886,,,37,41.7,           chesapeake bay,                     poti,annapolis maryland,,
  27/08/1886,,,42.2,41.7,             annapolis md,                     poti,annapolis maryland,,
   28/8/1886,,,,,,,,,
   28/8/1886,,,42.2,41.7,             annapolis md,                     poti,annapolis maryland,,
   29/8/1886,,,,,,,,,
   29/8/1886,,,42.2,41.7, atauchoroff annapolis md,                     poti,annapolis maryland,,
   30/8/1886,,,,,,,,,
   30/8/1886,,,42.2,41.7,             annapolis md,                     poti,annapolis maryland,,
  08/30/1886,,,,,,,,,
  08/30/1886,,,42.2,41.7,at anchor off annapolis md,                     poti,annapolis maryland,,
   31/8/1886,,,,,,,,,
   31/8/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  01/09/1886,,,,,,,,,
  01/09/1886,,,42.2,41.7,             annapolis md,                     poti,annapolis maryland,,
    2/9/1886,,,,,,,,,
    2/9/1886,,,42.2,41.7,at anchor off annapolis md,                     poti,annapolis maryland,,
    3/9/1886,,,,,,,,,
    3/9/1886,,,,,,,,,
    3/9/1886,,,,,,,,,
    3/9/1886,,,42.2,-76,at anchor off annapolis md,           chesapeake bay,annapolis maryland,,
  03/09/1886,,,,,,,,,
  03/09/1886,,,-43,147.8,making passage from annapolis md to norfolk va,              norfolk bay,chesapeake bay,,
    4/9/1886,,,,,,,,,
    4/9/1886,,,-43,147.8,          fort norfolk va,              norfolk bay,fort norfolk virginia,36 51 24N,0001-06-18
  05/09/1886,,,,,,,,,
  05/09/1886,,,-43,147.8,at anchor at fort norfolk va,              norfolk bay,fort norfolk virginia,,
  05/09/1886,,,,,,,,,
  05/09/1886,,,-43,147.8,at anchor at fort norfolk va,              norfolk bay,fort norfolk virginia,,
  06/09/1886,,,,,,,,,
  06/09/1886,,,-43,147.8,at anchor off fort norfolk va,              norfolk bay,fort norfolk virginia,,
  07/09/1886,,,,,          elisabeth river,,,,
  07/09/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,36 56.7N,0001-05-12
  08/09/1886,,,,,,,,,
  08/09/1886,,,-43,147.8,moored at navy yard norfolk va,              norfolk bay,naval station norfolk,,
  09/09/1886,,,,,,,,,
  09/09/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  10/09/1886,,,,,,,,,
  10/09/1886,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
