    1/1/1887,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  05/05/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  06/05/1887,,,,,,,,,
  06/05/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  07/05/1887,,,,,,,,,
  07/05/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  08/05/1887,,,,,,,,,
  08/05/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  09/05/1887,,,,,,,,,
  09/05/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  10/05/1887,,,,,,,,,
  10/05/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  11/05/1887,,,,,,,,,
  11/05/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  12/05/1887,,,,,,,,,
  12/05/1887,,,39.3,-76.6,                baltimore,                baltimore,,,
  13/05/1887,,,,,,,,,
  13/05/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  14/05/1887,,,,,,,,,
  14/05/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  15/05/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  15/05/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  16/05/1887,,,,,,,,,
  16/05/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  17/05/1887,,,,,,,,,
  17/05/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  18/05/1887,,,,,,,,,
  18/05/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  19/05/1887,,,,,,,,,
  19/05/1887,,,39.3,-76.6,columbian iron works baltimore maryland,                baltimore,columbian iron works dry dock,,
  20/05/1887,,,,,,,,,
  20/05/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  21/05/1887,,,,,,,,,
  21/05/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  22/05/1887,,,,,,,,,
  22/05/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  23/05/1887,,,,,,,,,
  23/05/1887,,,39.3,-76.6,columbian iron works baltimore maryland,                baltimore,columbian iron works dry dock,,
  24/05/1887,,,,,,,,,
  24/05/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  25/05/1887,,,,,,,,,
  25/05/1887,,,39.3,-76.6,columbian iron works baltimore maryland,                baltimore,columbian iron works dry dock,,
  26/05/1887,,,,,,,,,
  26/05/1887,,,39.3,-76.6,columbian iron works baltimore maryland,                baltimore,columbian iron works dry dock,,
  27/05/1887,,,,,,,,,
  27/05/1887,,,39.3,-76.6,columbian iron works baltimore maryland,                baltimore,columbian iron works dry dock,,
  28/05/1887,,,,,,,,,
  28/05/1887,,,39.3,-76.6,columbian iron works baltimore maryland,                baltimore,columbian iron works dry dock,,
  29/05/1887,,,,,,,,,
  29/05/1887,,,39.3,-76.6,columbian iron works baltimore maryland,                baltimore,columbian iron works dry dock,,
  30/05/1887,,,,,,,,,
  30/05/1887,,,39.3,-76.6,columbian iron works baltimore maryland,                baltimore,columbian iron works dry dock,,
  31/05/1887,,,,,,,,,
  31/05/1887,,,39.3,-76.6,columbian iron works baltimore maryland,                baltimore,columbian iron works dry dock,,
  01/06/1887,,,,,,,,,
  01/06/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  02/06/1887,,,,,,,,,
  02/06/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  03/06/1887,,,,,,,,,
  03/06/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  04/06/1887,,,,,,,,,
  04/06/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  05/06/1887,,,,,,,,,
  05/06/1887,,,39.3,-76.6,columbian iron works baltimore maryland,                baltimore,columbian iron works dry dock,,
  06/06/1887,,,,,,,,,
  06/06/1887,,,39.3,-76.6,columbian iron works baltimore maryland,                baltimore,columbian iron works dry dock,,
  07/06/1887,,,,,,,,,
  07/06/1887,,,39.3,-76.6,columbian iron works baltimore maryland,                baltimore,columbian iron works dry dock,,
  08/06/1887,,,,,,,,,
  08/06/1887,,,39.3,-76.6,columbian iron works baltimore maryland,                baltimore,columbian iron works dry dock,,
  09/06/1887,,,,,,,,,
  09/06/1887,,,39.3,-76.6,columbian iron works baltimore maryland,                baltimore,columbian iron works dry dock,,
  10/06/1887,,,,,,,,,
  10/06/1887,,,39.3,-76.6,columbian iron works baltimore maryland,                baltimore,columbian iron works dry dock,,
  11/06/1887,,,,,,,,,
  11/06/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  12/06/1887,,,,,,,,,
  12/06/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  13/06/1887,     13 06,,,,,,,,
  13/06/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  14/06/1887,,,,,,,,,
  14/06/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  15/06/1887,,,,,,,,,
  15/06/1887,,,39.3,-76.6,columbian iron works baltimore maryland,                baltimore,columbian iron works dry dock,,
  16/06/1887,,,,,,,,,
  16/06/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  17/06/1887,,,,,,,,,
  17/06/1887,,,39.3,-76.6,columbian iron works baltimore md,                baltimore,columbian iron works dry dock,,
  18/06/1887,,,39.3,113.9,battery station havre de grace,                baltimore,havre de grace maryland,39 32 54N,76 5 51W
  18/06/1887,,,39.3,-76.6,columbian iron works baltimore maryland,                baltimore,columbian iron works dry dock,,
  19/06/1887,,,,,,,,,
  19/06/1887,,,39.3,-76.6,columbian iron works baltimore maryland,                baltimore,columbian iron works dry dock,,
  20/06/1887,,,,,,,,,
