  01/01/1888,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  08/06/1888,,,37.8,-122.4,union iron works san francisco cal,        san francisco bay,union iron works,,
  09/06/1888,,,,,,,,,
  09/06/1888,,,37.8,-122.4,union iron works san francisco cal,        san francisco bay,union iron works,,
  10/06/1888,,,,,,,,,
  10/06/1888,,,37.8,-122.4,union iron works san francisco cal,        san francisco bay,union iron works,,
  11/06/1888,,,,,,,,,
  11/06/1888,,,37.8,-122.4,union iron works san francisco cal,        san francisco bay,union iron works,,
  12/06/1888,,,,,,,,,
  12/06/1888,,,37.8,-122.4,union iron works san francisco cal,        san francisco bay,union iron works,,
  13/06/1888,,,,,,,,,
  13/06/1888,,,37.8,-122.4,union iron works san francisco cal,        san francisco bay,union iron works,,
  14/06/1888,,,,,,,,,
  14/06/1888,,,37.8,-122.4,union iron works san francisco cal,        san francisco bay,union iron works,,
  15/06/1888,,,,,,,,,
  15/06/1888,,,37.8,-122.4,union iron works san francisco cal,        san francisco bay,union iron works,,
  16/06/1888,,,,,,,,,
  16/06/1888,,,37.8,-122.4,union iron works san francisco cal,        san francisco bay,union iron works,,
  17/06/1888,,,,,,,,,
  17/06/1888,,,37.8,-122.4,union iron works san francisco cal,        san francisco bay,union iron works,,
  18/06/1888,,,,,,,,,
  18/06/1888,,,37.8,-122.4,union iron works  at anchor san francisco cal,        san francisco bay,union iron works,,
   19/6/1888,,,,,,,,,
   19/6/1888,,,37.8,-122.4,at anchor san francisco cal,        san francisco bay,,,
  20/06/1888,,,,,,,,,
  20/06/1888,,,37.8,-122.4,at anchor san francisco cal,        san francisco bay,,,
  21/06/1888,,,,,,,,,
  21/06/1888,,,37.8,-122.4,at anchor san francisco cal,        san francisco bay,,,
   22/6/1888,,,,,,,,,
   22/6/1888,,,37.8,-122.4,at anchor san francisco cal,        san francisco bay,,,
   23/6/1888,,,,,,,,,
   23/6/1888,,,37.8,-122.4,at anchor san francisco cal,        san francisco bay,,,
  24/06/1888,,,,,,,,,
  24/06/1888,,,37.8,-122.4,at anchor san francisco cal,        san francisco bay,,,
  25/06/1888,,,,,,,,,
  25/06/1888,,,37.8,-122.4,at anchor  dry dock union iron works san fracisco cal,            san francisco,union iron works,,
  26/06/1888,,,,,,,,,
  26/06/1888,,,37.8,-122.4,union iron works san francisco cal,        san francisco bay,union iron works,,
  27/06/1888,,,,,,,,,
  27/06/1888,,,37.8,-122.4,union iron works  at anchor san francisco cal,        san francisco bay,union iron works,,
  28/06/1888,,,,,,,,,
  28/06/1888,,,37.8,-122.4,at anchor san francisco cal,        san francisco bay,,,
  29/06/1888,,,,,,,,,
  29/06/1888,,,37.8,-122.4,at anchor  coal wharf san francisco cal,        san francisco bay,,,
  30/06/1888,,,,,,,,,
  30/06/1888,,,,,,,,,
  30/06/1888,,,,,,,,,
  30/06/1888,,,,,,,,,
  30/06/1888,,,,,,,,,
  30/06/1888,,,,,,,,,
  30/06/1888,,,,,,,,,
  30/06/1888,,,,,,,,,
  30/06/1888,,,,,,,,,
  30/06/1888,,,,,,,,,
  30/06/1888,,,,,,,,,
  30/06/1888,,,,,,,,,
  30/06/1888,,,,,,,,,
  30/06/1888,,,37.8,-122.4,at anchor san francisco cal,        san francisco bay,,,
  01/07/1888,,,,,,,,,
  01/07/1888,,,37.8,-122.4,at anchor san francisco cal,        san francisco bay,,,
  02/07/1888,,,,,,,,,
