21/04/1894,        NA,        NA_2,37.8,-122.4,            san francisco,            san francisco_2,h,i,j
  01/11/1894,,,,,,,,,
  01/11/1894,     52 24,  160 03 W,,,,,,,
  02/11/1894,,,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  02/11/1894,   51 12 N,  156 22 W,,,,,,,
  03/11/1894,,,,,,,,,
  03/11/1894,   50 13 N,  153 29 W,,,,,,,
  04/11/1894,,,,,,,,,
  04/11/1894,   48 45 N,  147 43 W,,,,,,,
  05/11/1894,,,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  05/11/1894,     48 45,    149 16,,,,,,,
  05/11/1894,,,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  05/11/1894,   47 38 N,  146 06 W,,,,,,,
  06/11/1894,,,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  06/11/1894,   46 41 N,  143 15 W,,,,,,,
  07/11/1894,,,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  07/11/1894,   46 41 N,  143 15 W,,,,,,,
