  01/01/1894,        NA,        NA_2,37.8,-122.4,        san francisco cal,        san francisco bay,h,i,j
  05/09/1893,,,63.5,-162,at anchor off st michaels alaska,               st michael,,,
  06/09/1893,,,,,,,,,
  06/09/1893,   63 53 N,  162 00 W,63.5,-162,off fort st michaels alaska,               st michael,,,
  07/09/1893,,,,,,,,,
  07/09/1893,   64 04 N,  165 15 W,4,9.7,at sea norton sound alaska,                    duala,norton sound,63 50 57N,164 16 08W
  08/09/1893,,,,,,,,,
  08/09/1893,   63 49 N,  171 27 W,55,166.3,        at sea bering sea,                  behring,st lawrence island,,
  09/09/1893,,,63.1,-168.9,native village northwest cape st lawrence id,                east cape,st lawrence island,,
  09/09/1893,   62 17 N,  172 46 W,55,166.3,        at sea bering sea,                  behring,,,
  10/09/1893,,,,,,,,,
  10/09/1893,   60 29 N,  171 31 W,55,166.3,        at sea bering sea,                  behring,,,
  11/09/1893,,,,,,,,,
  11/09/1893,   59 31 N,  170 45 W,55,166.3,        at sea bering sea,                  behring,,,
  12/09/1893,,,,,,,,,
  12/09/1893,   57 05 N,  170 08 W,55,166.3,        at sea bering sea,                  behring,,,
  13/09/1893,,,,,,,,,
  13/09/1893,   56 46 N,  168 54 W,55,166.3,        at sea bering sea,                  behring,,,
  14/09/1893,,,,,,,,,
  14/09/1893,,,56.6,-169.6,at anchor off village st george island alaska,         st george island,,,
  15/09/1893,,,,,,,,,
  15/09/1893,,,56.6,-169.6,at anchor off village st george island alaska,         st george island,,,
  16/09/1893,,,,,,,,,
  16/09/1893,   56 58 N,  170 04 W,56.6,-169.6,at anchor off village st george island alaska,         st george island,,,
  17/09/1893,,,,,,,,,
  17/09/1893,   55 34 N,  169 05 W,55,166.3,        at sea bering sea,                  behring,,,
  18/09/1893,,,,,,,,,
  18/09/1893,   54 11 N,  166 50 W,54,-166.7,            cape cheerful,            cape cheerful,,,
  19/09/1893,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  19/09/1893,,,53.9,-166.5,    unalaska dutch harbor,             dutch harbor,,,
  20/09/1893,,,,,,,,,
  20/09/1893,,,43.1,16.7,at anchor unalaska dutch harbor alaska,                     hvar,unalaska bay,53 56 55N,166 29 54W
  21/09/1893,,,,,,,,,
  21/09/1893,,,43.1,16.7,unalaska outer harbor alaska,                     hvar,unalaska bay,,
  22/09/1893,,,,,,,,,
  22/09/1893,,,43.1,16.7,at anchor unalaska outer harbor alaska,                     hvar,unalaska bay,,
  23/09/1893,,,,,,,,,
  23/09/1893,,,43.1,16.7,at anchor unalaska outer harbor alaska,                     hvar,unalaska bay,,
  24/09/1893,,,,,,,,,
  24/09/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  25/09/1893,,,,,,,,,
  25/09/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  26/09/1893,,,,,,,,,
  26/09/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  27/09/1893,,,,,,,,,
  27/09/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  28/09/1893,,,,,,,,,
  28/09/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  29/09/1893,,,,,,,,,
  29/09/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  30/09/1893,,,,,,,,,
  30/09/1893,,,,,,,,,
  01/10/1893,,,,,,,,,
  01/10/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  01/10/1893,,,,,,,,,
  01/10/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  02/10/1893,,,,,,,,,
  02/10/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  03/10/1893,,,,,,,,,
  03/10/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  04/10/1893,,,,,,,,,
  04/10/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  05/10/1893,,,,,,,,,
  05/10/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  06/10/1893,,,,,,,,,
  06/10/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  07/10/1893,,,,,,,,,
  07/10/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  08/10/1893,,,,,,,,,
  08/10/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  09/10/1893,,,,,,,,,
  09/10/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  10/10/1893,,,,,,,,,
  10/10/1893,,,53.9,-166.5,nac cos wharf dutch harbor alaska,             dutch harbor,,,
  11/10/1893,,,,,,,,,
  11/10/1893,,,53.9,-166.5,nac cos wharf dutch harbor alaska,             dutch harbor,,,
  12/10/1893,,,,,,,,,
  12/10/1893,,,53.9,-166.5,nac cos wharf dutch harbor alaska,             dutch harbor,,,
  13/10/1893,,,,,,,,,
  13/10/1893,,,53.9,-166.5,nac cos wharf dutch harbor alaska,             dutch harbor,,,
  14/10/1893,,,,,,,,,
  14/10/1893,,,53.9,-166.5,nac cos wharf dutch harbor alaska,             dutch harbor,,,
  15/10/1893,,,,,,,,,
  15/10/1893,,,53.9,-166.5,nac cos wharf dutch harbor alaska,             dutch harbor,,,
  16/10/1893,,,,,,,,,
  16/10/1893,,,53.9,-166.5,nac cos wharf dutch harbor alaska,             dutch harbor,,,
  17/10/1893,,,,,,,,,
  17/10/1893,,,53.9,-166.5,nac cos wharf dutch harbor alaska,             dutch harbor,,,
  18/10/1893,,,,,,,,,
  18/10/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  19/10/1893,,,,,,,,,
  19/10/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  20/10/1893,,,,,,,,,
  20/10/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  21/10/1893,,,,,,,,,
  21/10/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  22/10/1893,,,,,,,,,
  22/10/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  23/10/1893,,,,,,,,,
  23/10/1893,,,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  24/10/1893,,,,,,,,,
  24/10/1893,   54 12 N,  166 54 W,53.9,-166.5,at nac cos wharf dutch harbor alaska,             dutch harbor,,,
  25/10/1893,,,,,,,,,
  25/10/1893,   56 16 N,  169 04 W,55,166.3,        at sea bering sea,                  behring,,,
  26/10/1893,,,,,,,,,
