  04/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  05/06/1869,,,,,,,,,
  05/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  06/06/1869,,,,,,,,,
  06/06/1869,,,9,-79.5,          in panama roads,                   panama,,,
  07/06/1869,,,,,,,,,
  07/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  08/06/1869,,,,,,,,,
  08/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  09/06/1869,,,,,,,,,
  09/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  10/06/1869,,,,,,,,,
  10/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  11/06/1869,,,,,,,,,
  11/06/1869,,,9,-79.5,          in panama roads,                   panama,,,
  12/06/1869,,,,,,,,,
  12/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  13/06/1869,,,,,,,,,
  13/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  14/06/1869,,,,,,,,,
  14/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  15/06/1869,,,,,,,,,
  15/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  16/06/1869,,,,,,,,,
  16/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  17/06/1869,,,,,,,,,
  17/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  18/06/1869,,,,,,,,,
  18/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  19/06/1869,,,,,,,,,
  19/06/1869,,,9,-79.5, atanchor in panama roads,                   panama,,,
  20/06/1869,,,,,,,,,
  20/06/1869,,,9,-79.5,             panama roads,                   panama,,,
  21/06/1869,,,,,,,,,
  21/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  22/06/1869,,,,,,,,,
  22/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  23/06/1869,,,,,,,,,
  23/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  24/06/1869,,,,,,,,,
  24/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  25/06/1869,,,,,,,,,
  25/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  26/06/1869,,,,,,,,,
  26/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  27/06/1869,,,,,,,,,
  27/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  28/06/1869,,,,,,,,,
  28/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  29/06/1869,,,,,,,,,
  29/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  30/06/1869,,,,,,,,,
  30/06/1869,,,,,,,,,
  30/06/1869,,,,,,,,,
  30/06/1869,,,,,,,,,
  30/06/1869,,,,,,,,,
  30/06/1869,,,,,,,,,
  30/06/1869,,,,,,,,,
  30/06/1869,,,,,,,,,
  30/06/1869,,,,,,,,,
  30/06/1869,,,,,,,,,
  30/06/1869,,,,,,,,,
  30/06/1869,,,,,,,,,
  30/06/1869,,,,,,,,,
  30/06/1869,,,,,,,,,
  30/06/1869,,,,,,,,,
  30/06/1869,,,,,,,,,
  30/06/1869,,,,,,,,,
  30/06/1869,,,,,,,,,
  30/06/1869,,,,,,,,,
  30/06/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  01/07/1869,,,,,,,,,
  01/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  02/07/1869,,,,,,,,,
  02/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  03/07/1869,,,,,,,,,
  03/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  04/07/1869,,,,,,,,,
  04/07/1869,,,9,-79.5,          in panama roads,                   panama,,,
  05/07/1869,,,,,,,,,
  05/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  06/07/1869,,,,,,,,,
  06/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  07/07/1869,,,,,,,,,
  07/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  08/07/1869,,,,,,,,,
  08/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  09/07/1869,,,,,,,,,
  09/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  10/07/1869,,,,,,,,,
  10/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  11/07/1869,,,,,,,,,
  11/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  12/07/1869,,,,,,,,,
  12/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  13/07/1869,,,,,,,,,
  13/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  14/07/1869,,,,,,,,,
  14/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  15/07/1869,,,,,,,,,
  15/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  16/07/1869,,,,,,,,,
  16/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  17/07/1869,,,,,,,,,
  17/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  18/07/1869,,,,,,,,,
  18/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  19/07/1869,,,,,,,,,
  19/07/1869,,,9,-79.5,   at anchor panama roads,                   panama,,,
  20/07/1869,,,,,,,,,
  20/07/1869,,,9,-79.5,             panama roads,                   panama,,,
  21/07/1869,,,,,,,,,
  21/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  22/07/1869,,,,,,,,,
  22/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  23/07/1869,,,,,,,,,
  23/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  24/07/1869,,,,,,,,,
  24/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  25/07/1869,,,,,,,,,
  25/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  26/07/1869,,,,,,,,,
  26/07/1869,,,9,-79.5,          in panama roads,                   panama,,,
  27/07/1869,,,,,,,,,
  27/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  28/07/1869,,,,,,,,,
  28/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  29/07/1869,,,,,,,,,
  29/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  30/07/1869,,,,,,,,,
  30/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  31/07/1869,,,,,,,,,
  31/07/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  01/08/1869,,,,,,,,,
  01/08/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  02/08/1869,,,,,,,,,
  02/08/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  03/08/1869,,,,,,,,,
  03/08/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  04/08/1869,,,,,,,,,
  04/08/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  05/08/1869,,,,,,,,,
  05/08/1869,,,9,-79.5,   anchor in panama roads,                   panama,,,
  06/08/1869,,,,,,,,,
  06/08/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  07/08/1869,,,,,,,,,
  07/08/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  08/08/1869,,,,,,,,,
  08/08/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  09/08/1869,,,,,,,,,
  09/08/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  10/08/1869,,,,,,,,,
  10/08/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  11/08/1869,,,,,,,,,
  11/08/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  12/08/1869,,,,,,,,,
  12/08/1869,,,9,-79.5,          in panama roads,                   panama,,,
  13/08/1869,,,,,,,,,
  13/08/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  14/08/1869,,,,,,,,,
  14/08/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  15/08/1869,,,,,,,,,
  15/08/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  16/08/1869,,,,,,,,,
  16/08/1869,,,9,-79.5,             panama roads,                   panama,,,
  17/08/1869,,,,,,,,,
  17/08/1869,,,9,-79.5,at anchor in panama roads,                   panama,,,
  18/08/1869,,,,,,,,,
  18/08/1869,,,9,-79.5,             panama roads,                   panama,,,
  19/08/1869,,,,,,,,,
  19/08/1869,,,9,-79.5,          in panama roads,                   panama,,,
  20/08/1869,,,,,,,,,
  20/08/1869,,,9,-79.5,                   at sea,                   panama,pearl islands,8 20N,79 07W
   21/8/1869,,,,,,,,,
   21/8/1869,   08 01 N,   79 29 W,,,                   at sea,,,,
  22/08/1869,,,,,,,,,
  22/08/1869,   07 11 N,   79 47 W,,,                   at sea,,,,
  23/08/1869,,,,,,,,,
  23/08/1869,   06 18 N,   79 09 W,,,,,,,
  24/08/1869,,,,,,,,,
  24/08/1869,   05 20 N,   78 41 W,,,                   at sea,,,,
  25/08/1869,,,,,,,,,
  25/08/1869,   05 50 N,   78 56 W,,,                   at sea,,,,
  26/08/1869,,,,,,,,,
  26/08/1869,   05 53 N,   79 51 W,,,,,,,
  27/08/1869,,,,,,,,,
  27/08/1869,   05 04 N,   79 40 W,,,                   at sea,,,,
  28/08/1869,,,,,,,,,
  28/08/1869,   04 51 N,   80 31 W,,,                   at sea,,,,
  29/08/1869,,,,,,,,,
  29/08/1869,   03 57 N,   80 21 W,,,                   at sea,,,,
  30/08/1869,,,,,,,,,
  30/08/1869,   03 16 N,   80 02 W,,,                   at sea,,,,
  31/08/1869,,,,,,,,,
  31/08/1869,   02 52 N,   80 52 W,,,                   at sea,,,,
  01/09/1869,,,,,,,,,
  01/09/1869,   02 45 N,   81 48 W,,,                   at sea,,,,
  02/09/1869,,,,,,,,,
  02/09/1869,   03 00 N,   83 54 W,,,                   at sea,,,,
