  01/01/1928,        NA,        NA_2,57,-144,through the gulf of alaska,           gulf of alaska,h,i,j
  04/03/1928,,,47.6,-122.3,               seattle wn,                  seattle,,,
  05/03/1928,,,47.6,-122.3,               seattle wn,                  seattle,,,
  05/03/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  06/03/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  06/03/1928,,,47.6,-122.3,               seattle wn,                  seattle,,,
  07/03/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  07/03/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  08/03/1928,,,47.6,-122.3,               seattle wn,                  seattle,,,
  08/03/1928,,,47.6,-122.3,             seattle wash,                  seattle,,,
  09/03/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  09/03/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  10/03/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  10/03/1928,,,47.6,-122.3,       seattle washington,                  seattle,,,
  11/03/1928,,,47.6,-122.3,       out of elliott bay,                  winslow,elliott bay,,
  11/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  12/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  12/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  13/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  13/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  14/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  14/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  15/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  15/03/1928,         s,,47.6,-122.5,       winslow washington,                  winslow,,,
  16/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  16/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  17/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  17/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
  18/03/1928,,,47.6,-122.5,       winslow washington,                  winslow,,,
