          NA,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  09/08/1891,,,56.2,-3,moored in north river of 32nd st ny,                    forth,north river hudson,,
  10/08/1891,,,,,,,,,
  11/08/1891,,,-17.5,-149.8, moored in north river ny,                   moorea,north river hudson,,
  11/08/1891,,,,,,,,,
  12/08/1891,,,-17.5,-149.8, moored in north river ny,                   moorea,north river hudson,,
  12/08/1891,,,22.2,73.9,                hell gate,                      goa,hell gate,40.781698N,73.923516W
  12/08/1891,,,22.6,59.5,at anchor off barletts reef conn,                      sur,long island sound,,
  13/08/1891,,,22.6,59.5,little gull light s by w 14 w,                      sur,little gull island,41 12 23N,72 06 25W
  13/08/1891,,,29.9,32.6,    fort adams newport ri,                   port t,fort adams rhode island,41 28 30N,71 20 28W
  14/08/1891,,,,,,,,,
  14/08/1891,,,29.9,32.6,at anchor off fort adams newport r i,                   port t,fort adams rhode island,,
  14/08/1891,,,43.1,16.7,race isld lighthouse n by w 34 w,                     hvar,rose island rhode island,41 29 46.91N,71 20 28.1W
  14/08/1891,,,29.9,32.6, at anchor off newport ri,                   port t,newport rhode island,41.488002N,71.312622W
  15/08/1891,,,,,     530 pm off jamestown,,jamestown rhode island,41 31N,71 22W
  15/08/1891,,,29.9,32.6,     moored at newport ri,                   port t,newport rhode island,,
  16/08/1891,,,,,,,,,
  16/08/1891,,,29.9,32.6,     at anchor newport ri,                   port t,newport rhode island,,
  17/08/1891,,,,,,,,,
  17/08/1891,,,40.7,-74,at anchor newport ri and making passage to new york,                 new york,long island sound,,
  18/08/1891,,,,,,,,,
  18/08/1891,,,40.6,-74.1,making passage to new york from newport ri and at anchor tampkinsville si,            tompkinsville,tompkinsville staten island,40 38 02N,74 05 09W
  19/08/1891,,,,,,,,,
  19/08/1891,,,65,-168.1,at sea to the southward of long island,              king island,new york bight,,
  20/08/1891,,,,,,,,,
  20/08/1891,,,,,,,,,
  20/08/1891,,,,,,,,,
  20/08/1891,,,,,,,,,
  20/08/1891,,,,,,,,,
  20/08/1891,,,,,,,,,
  20/08/1891,,,,,,,,,
  20/08/1891,,,,,,,,,
  20/08/1891,,,,,,,,,
  20/08/1891,,,,,,,,,
  20/08/1891,,,,,,,,,
  20/08/1891,,,,,,,,,
  20/08/1891,,,,,,,,,
  20/08/1891,,,65,-168.1,at sea to the southward of long island,              king island,new york bight,,
  21/08/1891,,,,,,,,,
  21/08/1891,,,40.6,-74.1,tompkins ville si  north river off 26th st,            tompkinsville,tompkinsville staten island,,
  22/08/1891,,,,,,,,,
  22/08/1891,,,56.2,-3,at anchor off 26th st north river,                    forth,north river hudson,,
  23/08/1891,,,,,,,,,
