  05/05/1886,        NA,        NA_2,37.8,-122.4,            san francisco,            san francisco_2,h,i,j
  09/09/1886,,,55,166.3,              behring sea,                  behring,,,
  10/09/1886,,,57.1,-170.3,          st pauls island,           st paul island,,,
  10/09/1886,,,,,,,,,
  11/09/1886,,,56.6,-169.6,        st georges island,         st george island,,,
  11/09/1886,,,57.1,-170.3,          st pauls island,           st paul island,,,
  12/09/1886,   55 55 N,  168 35 W,,,,,,,
  12/09/1886,,,56.6,-169.6,st georges island  behring sea,         st george island,,,
  13/09/1886,   55 15 N,  167 54 W,,,,,,,
  13/09/1886,,,55,166.3,              behring sea,                  behring,,,
  14/09/1886,,,53.9,-166.5,         ounalaska harbor,             unalaska bay,,,
  14/09/1886,,,55,166.3,              behring sea,                  behring,,,
  15/09/1886,,,,,                 unalaska,,,,
  15/09/1886,,,,,                ounalaska,,,,
  16/09/1886,,,,,                 unalaska,,,,
  16/09/1886,,,,,                ounalaska,,,,
  17/09/1886,,,,,                 unalaska,,,,
  17/09/1886,,,,,                ounalaska,,,,
  18/09/1886,,,,,                 unalaska,,,,
  18/09/1886,,,,,                ounalaska,,,,
  19/09/1886,   54 31 N,  166 20 W,,,,,,,
  19/09/1886,,,,,                ounalaska,,,,
  20/09/1886,   55 44 N,  166 54 W,,,,,,,
  20/09/1886,,,,,                   at sea,,,,
  21/09/1886,   56 19 N,  167 39 W,,,,,,,
  21/09/1886,,,55,166.3,              behring sea,                  behring,,,
  22/09/1886,,,57.1,-170.3,   st pauls island w12s30,           st paul island,,,
  22/09/1886,,,55,166.3,              behring sea,                  behring,,,
  23/09/1886,,,57.1,-170.3,st pauls island east landing,           st paul island,,,
  23/09/1886,,,55,166.3,              behring sea,                  behring,,,
  24/09/1886,,,56.6,-169.6,st georges island village se 2,         st george island,,,
  24/09/1886,,,57.1,-170.3,          st pauls island,           st paul island,,,
  25/09/1886,,,57.1,-170.3,ne pt st pauls island ne 3,           st paul island,,,
  25/09/1886,,,55,166.3,              behring sea,                  behring,,,
  26/09/1886,,,,,,,,,
  26/09/1886,,,57.1,-170.3,      ne pt st pauls isld,                  st paul,,,
  27/09/1886,,,56.6,-169.6,    st georges isld se12e,                st george,,,
  27/09/1886,,,57.1,-170.3,      st pauls isld ne pt,                  st paul,,,
  28/09/1886,      56 N,  168 50 W,,,,,,,
  28/09/1886,,,55,166.3,              behring sea,                  behring,,,
  29/09/1886,   55 07 N,  167 36 W,,,,,,,
  29/09/1886,,,55,166.3,              behring sea,                  behring,,,
  30/09/1886,,,53.9,-166.5,         ounalaska harbor,             unalaska bay,,,
  30/09/1886,,,55,166.3,              behring sea,                  behring,,,
  01/10/1886,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  01/10/1886,,,,,                ounalaska,,,,
  02/10/1886,,,,,                 unalaska,,,,
  02/10/1886,,,,,                ounalaska,,,,
  03/10/1886,,,,,                 unalaska,,,,
  03/10/1886,,,,,                ounalaska,,,,
  04/10/1886,,,,,                 unalaska,,,,
  04/10/1886,,,,,                ounalaska,,,,
  05/10/1886,,,,,                 unalaska,,,,
  05/10/1886,,,,,                ounalaska,,,,
  06/10/1886,,,,,                 unalaska,,,,
  06/10/1886,,,,,                ounalaska,,,,
  07/10/1886,,,,,                 unalaska,,,,
  07/10/1886,,,,,                ounalaska,,,,
  08/10/1886,,,,,                 unalaska,,,,
  08/10/1886,,,,,                ounalaska,,,,
  09/10/1886,,,,,                 unalaska,,,,
  09/10/1886,,,,,                ounalaska,,,,
  10/10/1886,,,,,                 unalaska,,,,
  10/10/1886,,,,,                ounalaska,,,,
  11/10/1886,   52 40 N,  162 50 W,,,,,,,
  11/10/1886,,,,,                   at sea,,,,
  12/10/1886,   51 22 N,  157 47 W,,,,,,,
  12/10/1886,,,,,                   at sea,,,,
  13/10/1886,   49 58 N,  154 29 W,,,,,,,
  13/10/1886,,,,,                   at sea,,,,
  14/10/1886,   48 36 N,  150 03 W,,,,,,,
  14/10/1886,,,,,                   at sea,,,,
  15/10/1886,   47 30 N,  146 39 W,,,,,,,
  15/10/1886,,,,,                   at sea,,,,
  16/10/1886,   46 13 N,  142 53 W,,,,,,,
  16/10/1886,,,,,                   at sea,,,,
  17/10/1886,   44 38 N,  139 13 W,,,,,,,
  17/10/1886,,,,,                   at sea,,,,
  18/10/1886,   43 18 N,  135 50 W,,,,,,,
  18/10/1886,,,,,                   at sea,,,,
  19/10/1886,   41 36 N,  131 09 W,,,,,,,
  19/10/1886,,,,,                   at sea,,,,
  20/10/1886,   39 48 N,  127 28 W,,,,,,,
  20/10/1886,,,,,                   at sea,,,,
  21/10/1886,   38 10 N,  123 49 W,,,,,,,
  21/10/1886,,,,,                   at sea,,,,
  22/10/1886,,,,,,,,,
  22/10/1886,San Francisco,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  23/10/1886,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  23/10/1886,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  24/10/1886,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
