  01/01/1877,        NA,        NA_2,56.2,-3,     at sea north pacific,                    forth,north pacific,i,j
  01/03/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  01/03/1877,,,,,,,,,
  02/03/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  02/03/1877,,,,,,,,,
  03/03/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  03/03/1877,,,,,,,,,
  04/03/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  04/03/1877,,,,,,,,,
  05/03/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  05/03/1877,,,,,,,,,
  06/03/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  06/03/1877,,,,,,,,,
  07/03/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  07/03/1877,,,,,,,,,
  08/03/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  08/03/1877,,,,,,,,,
  09/03/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  09/03/1877,,,,,,,,,
  10/03/1877,,,56.2,-3,     at sea north pacific,                    forth,oahu,,
  10/03/1877,     21 14,    157 24,,,,,,,
  11/03/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  11/03/1877,     22 40,    155 54,,,,,,,
  12/03/1877,     12 03,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  12/03/1877,     23 10,    154 43,,,,,,,
  13/03/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  13/03/1877,     24 04,    154 14,,,,,,,
  14/03/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  14/03/1877,     25 28,    152 24,,,,,,,
  15/03/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  15/03/1877,     27 17,    150 19,,,,,,,
  16/03/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  16/03/1877,     27 20,    150 24,,,,,,,
  17/03/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  17/03/1877,     28 30,    150 15,,,,,,,
  18/03/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  18/03/1877,   30 44 N,    149 37,,,,,,,
  19/03/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  19/03/1877,   32 04 N,  147 50 W,,,,,,,
  20/03/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  20/03/1877,     32 52,    146 50,,,,,,,
  21/03/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  21/03/1877,     34 48,    144 48,,,,,,,
  22/03/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  22/03/1877,     36 12,    141 08,,,,,,,
  23/03/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  23/03/1877,     37 27,    138 37,,,,,,,
  24/03/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  24/03/1877,     38 07,    136 55,,,,,,,
  25/03/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  25/03/1877,     38 11,    134 49,,,,,,,
  26/03/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  26/03/1877,     38 13,    132 10,,,,,,,
  27/03/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  27/03/1877,     38 10,    128 34,,,,,,,
  28/03/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  28/03/1877,     38 16,  125 36 W,,,,,,,
  29/03/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  29/03/1877,,,,,,,,,
  30/03/1877,,,,,,,,,
  30/03/1877,,,,,,,,,
  31/03/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  31/03/1877,,,,,,,,,
  01/04/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  01/04/1877,,,,,,,,,
  02/04/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  02/04/1877,,,,,,,,,
  03/04/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  03/04/1877,,,,,,,,,
  04/04/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  04/04/1877,,,,,,,,,
  05/04/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  05/04/1877,,,,,,,,,
  06/04/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  06/04/1877,,,,,,,,,
  07/04/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  07/04/1877,,,,,,,,,
  08/04/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  08/04/1877,,,,,,,,,
  09/04/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  09/04/1877,,,,,,,,,
  10/04/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  10/04/1877,,,,,,,,,
  11/04/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  11/04/1877,,,,,,,,,
  12/04/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  12/04/1877,,,,,,,,,
  13/04/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  13/04/1877,,,,,,,,,
  14/04/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  14/04/1877,,,,,,,,,
  15/04/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  15/04/1877,,,,,,,,,
  16/04/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  16/04/1877,,,,,,,,,
  17/04/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  17/04/1877,,,,,,,,,
  17/04/1877,,,,,,,,,
  17/04/1877,,,,,,,,,
  17/04/1877,,,,,,,,,
  17/04/1877,,,,,,,,,
  17/04/1877,,,,,,,,,
  17/04/1877,,,,,,,,,
  01/06/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  02/06/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  03/06/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  04/06/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  05/06/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  06/06/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  07/06/1877,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
