          NA,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  21/01/1898,,,,,,,,,
  21/01/1898,   30 54 N,   58 47 W,22.2,113.9,         position at 8 am,                     taio,north atlantic,,
  22/01/1898,,,,,,,,,
  22/01/1898,   29 25 N,   58 57 W,22.2,113.9,         position at 8 pm,                     taio,north atlantic,,
  23/01/1898,,,,,,,,,
  23/01/1898,   28 38 N,   58 19 W,13.2,-59.6,at sea making passage from newport ri to st thomas west indies,                st thomas,north atlantic,,
  24/01/1898,,,,,,,,,
  24/01/1898,   26 44 N,   57 34 W,13.2,-59.6,at sea making passage from newport ri to st thomas west indies,                st thomas,north atlantic,,
  25/01/1898,,,,,,,,,
  25/01/1898,   25 07 N,   58 28 W,13.2,-59.6,at sea making passage from newport ri to st thomas west indies,                st thomas,north atlantic,,
  26/01/1898,,,,,,,,,
  26/01/1898,   23 33 N,   58 03 W,13.2,-59.6,at sea making passage from newport ri to st thomas west indies,                st thomas,north atlantic,,
  27/01/1898,,,,,,,,,
  27/01/1898,   22 04 N,   57 28 W,13.2,-59.6,at sea making passage from newport ri to st thomas west indies,                st thomas,north atlantic,,
  28/01/1898,,,,,,,,,
  28/01/1898,   20 46 N,   56 31 W,13.2,-59.6,at sea making passage from newport ri to st thomas west indies,                st thomas,north atlantic,,
  29/01/1898,,,,,,,,,
  29/01/1898,   20 12 N,   56 18 W,13.2,-59.6,at sea making passage from newport ri to st thomas west indies,                st thomas,north atlantic,,
  30/01/1898,,,,,,,,,
  30/01/1898,   19 41 N,   57 53 W,13.2,-59.6,at sea making passage from newport ri to st thomas west indies,                st thomas,north atlantic,,
  31/01/1898,,,,,,,,,
  31/01/1898,   19 15 N,   60 03 W,13.2,-59.6,                     noon,                st thomas,north atlantic,,
  01/02/1898,,,,,,,,,
  01/02/1898,   18 50 N,   62 53 W,13.2,-59.6,                     noon,                st thomas,north atlantic,,
  02/02/1898,,,,,,,,,
  02/02/1898,   17 59 N,   63 35 W,13.2,-59.6,                     noon,                st thomas,caribbean sea,15N,0002-06-10
  03/02/1898,,,52.8,-128.5,         saba island sexe,             sarah island,saba,17 38N,0001-04-09
  03/02/1898,   17 25 N,   63 57 W,13.2,-59.6,                     noon,                st thomas,caribbean sea,,
  04/02/1898,,,,,,,,,
  04/02/1898,   18 12 N,   64 12 W,13.2,-59.6,                     noon,                st thomas,caribbean sea,,
  05/02/1898,,,,,,,,,
  05/02/1898,   18 19 N,   64 38 W,13.2,-59.6,at anchor charlotte amelia st thomas danish west indies,                st thomas,charlotte amelie usvi,18 21N,0002-02-04
  06/02/1898,,,13.2,-59.6,                st thomas,                st thomas,saint thomas usvi,18 20N,0002-01-21
  06/02/1898,,,18.3,-64.9,at anchor charlotte amelia st thomas danish west indies,         charlotte amalie,,,
  07/02/1898,,,,,,,,,
  07/02/1898,,,18.3,-64.9,at anchor charlotte amelia st thomas,         charlotte amalie,,,
  08/02/1898,,,,,,,,,
  08/02/1898,,,18.3,-64.9,at anchor charlotte amelia st thomas danish west indies,         charlotte amalie,,,
  09/02/1898,,,,,,,,,
  09/02/1898,,,18.3,-64.9,at anchor charlotte amelia st thomas danish west indies,         charlotte amalie,,,
  10/02/1898,,,,,,,,,
  10/02/1898,   18 07 N,   64 28 W,18.3,-64.9,at anchor charlotte amelia st thomas danish west indies,         charlotte amalie,,,
  11/02/1898,,,,,,,,,
  11/02/1898,   17 01 N,   63 31 W,17.3,-62.8,at sea making passage from st thomas to st kitts english west indies,                st  kitts,caribbean sea,,
  12/02/1898,,,,,,,,,
  12/02/1898,   17 03 N,   62 37 W,17.3,-62.8,at sea making passage from st thomas to st kitts english west indies,                st  kitts,caribbean sea,,
  13/02/1898,,,,,,,,,
  13/02/1898,   16 37 N,   62 30 W,17.3,-62.8,                     noon,                st  kitts,caribbean sea,,
  14/02/1898,,,,,,,,,
  14/02/1898,   17 08 N,   62 53 W,17.3,-62.8,at sea making passage from st thomas to st kitts english west indies,                st  kitts,caribbean sea,,
  15/02/1898,,,,,,,,,
  15/02/1898,   17 13 N,   62 54 W,17.3,-62.8,                 st kitts,                st  kitts,,,
  16/02/1898,,,,,,,,,
  16/02/1898,,,17.3,-62.8,at anchor stkitts english west indies,                st  kitts,,,
  17/02/1898,,,,,,,,,
  17/02/1898,,,17.3,-62.8,at anchor st kitts english west indies,                st  kitts,,,
  18/02/1898,,,,,,,,,
  18/02/1898,,,17.3,-62.8,st kitts english west indies,                st  kitts,,,
  19/02/1898,,,,,,,,,
  19/02/1898,,,17.3,-62.8,st kitts english west indies,                st  kitts,,,
  20/02/1898,,,,,,,,,
  20/02/1898,,,17.3,-62.8,at anchor st kitts english west indies,                st  kitts,,,
  21/02/1898,,,,,,,,,
  21/02/1898,,,17.3,-62.8,at anchor st kitts english west indies,                st  kitts,,,
  21/02/1898,,,,,,,,,
  21/02/1898,,,17.3,-62.8,st kitts english west indies,                st  kitts,,,
  21/02/1898,,,,,,,,,
  21/02/1898,,,17.3,-62.8,at anchor st kitts english west indies,                st  kitts,,,
  21/02/1898,,,,,,,,,
  21/02/1898,,,17.3,-62.8,at anchor st kitts english west indies,                st  kitts,,,
  21/02/1898,,,,,,,,,
  21/02/1898,,,17.3,-62.8,at anchor st kitts english west indies,                st  kitts,,,
  22/02/1898,,,,,,,,,
  22/02/1898,,,17.3,-62.8,st kitts english west indies,                st  kitts,,,
  23/02/1898,,,,,,,,,
  23/02/1898,,,17.3,-62.8,at anchor st kitts english west indies,                st  kitts,,,
  24/02/1898,,,,,,,,,
  24/02/1898,,,17.3,-62.8,at anchor stkitts english west indies,                st  kitts,,,
  25/02/1898,,,,,,,,,
  25/02/1898,,,17.3,-62.8,st kitts english west indies,                st  kitts,,,
  26/02/1898,,,,,,,,,
  26/02/1898,,,17.3,-62.8,st kitts english west indies,                st  kitts,,,
  27/02/1898,,,,,,,,,
  27/02/1898,,,17.3,-62.8,at anchor st kitts english west indies,                st  kitts,,,
  28/02/1898,,,,,,,,,
  28/02/1898,,,17.3,-62.8,st kitts english west indies,                st  kitts,,,
