  01/01/1917,        NA,        NA_2,47.6,-122.3,       seattle washington,                  seattle,h,i,j
  06/05/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  06/05/1917,,,,,,,,,
  07/05/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  07/05/1917,,,,,,,,,
  08/05/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  08/05/1917,,,,,,,,,
  09/05/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  09/05/1917,,,,,,,,,
  10/05/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  10/05/1917,,,,,,,,,
  11/05/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  11/05/1917,,,,,,,,,
  12/05/1917,,,46.2,-123.8,           astoria oregon,                  astoria,,,
  12/05/1917,,,,,,,,,
  13/05/1917,   45 55 N,  124 16 W,46.2,-123.8,           astoria oregon,                  astoria,north pacific,,
  13/05/1917,,,,,,,,,
  14/05/1917,     41 45,  124 43 W,46.2,-123.8,           astoria oregon,                  astoria,north pacific,,
  14/05/1917,,,,,,,,,
  15/05/1917,   40 16 N,  127 30 W,46.2,-123.8,           astoria oregon,                  astoria,north pacific,,
  15/05/1917,,,,,,,,,
  16/05/1917,,,46.2,-123.8,from astoria oregon to tiburon california,                  astoria,tiburon california,37 52 25N,122 27 24W
  16/05/1917,,,,,,,,,
  17/05/1917,,,37.8,-122.4,      san francisco calif,        san francisco bay,,,
  17/05/1917,,,,,,,,,
  18/05/1917,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  18/05/1917,,,,,,,,,
  19/05/1917,     36 22,  126 19 W,37.8,-122.4,      san francisco calif,        san francisco bay,north pacific,,
  19/05/1917,,,,,,,,,
  20/05/1917,   36 40 N,  128 21 W,37.8,-122.4,      san francisco calif,        san francisco bay,north pacific,,
  20/05/1917,,,,,,,,,
  21/05/1917,   35 22 N,  130 19 W,37.8,-122.4,      san francisco calif,        san francisco bay,north pacific,,
  21/05/1917,,,,,,,,,
  22/05/1917,   35 19 N,  129 41 W,37.8,-122.4,      san francisco calif,        san francisco bay,north pacific,,
  22/05/1917,,,,,,,,,
  23/05/1917,   35 48 N,    128 16,37.8,-122.4,      san francisco calif,        san francisco bay,north pacific,,
  23/05/1917,,,,,,,,,
  24/05/1917,     35 50,    127 17,37.8,-122.4,      san francisco calif,        san francisco bay,north pacific,,
  24/05/1917,,,,,,,,,
  25/05/1917,   36 59 N,  123 16 W,37.8,-122.4,      san francisco calif,        san francisco bay,north pacific,,
  25/05/1917,,,,,,,,,
  26/05/1917,,,37.8,-122.4,tiburon coaling station san francisco calif,            san francisco,tiburon california,,
  26/05/1917,,,,,,,,,
  27/05/1917,   37 46 N,  122 39 W,,,tiburon coaling station san francisco calif,,,,
  27/05/1917,,,,,,,,,
  28/05/1917,   37 07 N,  128 00 W,,,tiburon coaling station san francisco california,,,,
  28/05/1917,,,,,,,,,
  29/05/1917,   36 57 N,  129 20 W,,,tiburon coaling station san francisco california,,,,
  29/05/1917,,,,,,,,,
  30/05/1917,   37 36 N,  132 36 W,37.8,-122.4,            san francisco,            san francisco,north pacific,,
  30/05/1917,,,,,,,,,
  31/05/1917,   37 53 N,  128 45 W,,,,,,,
  31/05/1917,,,,,,,,,
  31/05/1917,,,,,,,,,
  31/05/1917,,,,,,,,,
  31/05/1917,,,,,,,,,
  31/05/1917,,,,,,,,,
  31/05/1917,,,,,,,,,
  31/05/1917,,,,,,,,,
  31/05/1917,,,,,,,,,
  31/05/1917,,,,,,,,,
  31/05/1917,,,,,,,,,
  31/05/1917,,,,,,,,,
  01/06/1917,   37 47 N,  125 09 W,37.8,-122.4,      san francisco calif,        san francisco bay,north pacific,,
  01/06/1917,,,,,,,,,
  02/06/1917,   37 55 N,  124 10 W,37.8,-122.4,      san francisco calif,        san francisco bay,north pacific,,
  02/06/1917,,,,,,,,,
  03/06/1917,   37 58 N,  123 37 W,37.8,-122.4,      san francisco calif,        san francisco bay,north pacific,,
  03/06/1917,,,,,,,,,
  04/06/1917,,,37.8,-122.4,      san francisco calif,        san francisco bay,,,
  04/06/1917,,,,,,,,,
  05/06/1917,,,37.8,-122.4,      san francisco calif,        san francisco bay,,,
  05/06/1917,,,,,,,,,
  06/06/1917,,,37.8,-122.4,      san francisco calif,        san francisco bay,,,
  06/06/1917,,,,,,,,,
  07/06/1917,   37 22 N,  122 31 W,37.8,-122.4,      san francisco calif,        san francisco bay,,,
  07/06/1917,,,,,,,,,
  08/06/1917,   35 34 N,  121 37 W,37.8,-122.4,      san francisco calif,        san francisco bay,north pacific,,
  08/06/1917,,,,,,,,,
  09/06/1917,   32 48 N,  117 28 W,,,,,,,
  09/06/1917,,,,,,,,,
  10/06/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  10/06/1917,,,,,,,,,
  11/06/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  11/06/1917,,,,,,,,,
  12/06/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  12/06/1917,,,,,,,,,
  13/06/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  13/06/1917,,,,,,,,,
  14/06/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  14/06/1917,,,,,,,,,
  15/06/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  15/06/1917,,,,,,,,,
  16/06/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  16/06/1917,,,,,,,,,
  17/06/1917,,,32.7,-117.2,     san diego california,            san diego usa,,,
  17/06/1917,,,,,,,,,
  18/06/1917,,,32.7,-117.2,     san diego california,            san diego usa,,,
  18/06/1917,,,,,,,,,
  19/06/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  19/06/1917,,,,,,,,,
  20/06/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  20/06/1917,,,,,,,,,
  21/06/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  21/06/1917,,,,,,,,,
  22/06/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  22/06/1917,,,,,,,,,
  23/06/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  23/06/1917,,,,,,,,,
  24/06/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  24/06/1917,,,,,,,,,
  25/06/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  25/06/1917,,,,,,,,,
  26/06/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  26/06/1917,,,,,,,,,
  27/06/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  27/06/1917,,,,,,,,,
  28/06/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  28/06/1917,,,,,,,,,
  29/06/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  29/06/1917,,,,,,,,,
  30/06/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  30/06/1917,,,,,,,,,
  30/06/1917,,,,,,,,,
  30/06/1917,,,,,,,,,
  30/06/1917,,,,,,,,,
  30/06/1917,,,,,,,,,
  30/06/1917,,,,,,,,,
  30/06/1917,,,,,,,,,
  30/06/1917,,,,,,,,,
  30/06/1917,,,,,,,,,
  30/06/1917,,,,,,,,,
  30/06/1917,,,,,,,,,
  01/07/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  01/07/1917,,,,,,,,,
  02/07/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  02/07/1917,,,,,,,,,
  03/07/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  03/07/1917,,,,,,,,,
  04/07/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  04/07/1917,,,,,,,,,
  05/07/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  05/07/1917,,,,,,,,,
  06/07/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  06/07/1917,,,,,,,,,
  07/07/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  07/07/1917,,,,,,,,,
  08/07/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  08/07/1917,,,,,,,,,
  09/07/1917,,,32.7,-117.2,     san diego california,            san diego usa,,,
  09/07/1917,,,,,,,,,
  10/07/1917,,,32.7,-117.2,enroute from ensenada mex to san diego calif,            san diego usa,ensenada baja california,31 51 28N,116 36 21W
  10/07/1917,,,,,,,,,
  11/07/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  11/07/1917,,,,,,,,,
  12/07/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  12/07/1917,,,,,,,,,
  13/07/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  13/07/1917,,,,,,,,,
  14/07/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  14/07/1917,,,,,,,,,
  15/07/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  15/07/1917,,,,,,,,,
  16/07/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  16/07/1917,,,,,,,,,
  17/07/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  17/07/1917,,,,,,,,,
  18/07/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  18/07/1917,,,,,,,,,
  19/07/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  19/07/1917,,,,,,,,,
  20/07/1917,,,32.7,-117.2,     san diego california,            san diego usa,,,
  20/07/1917,,,,,,,,,
  21/07/1917,,,32.7,-117.2,     san diego california,            san diego usa,,,
  21/07/1917,,,,,,,,,
  22/07/1917,,,32.7,-117.2,     san diego california,            san diego usa,,,
  22/07/1917,,,,,,,,,
  23/07/1917,,,32.7,-117.2,     san diego california,            san diego usa,,,
  23/07/1917,,,,,,,,,
  24/07/1917,,,32.7,-117.2,     san diego california,            san diego usa,,,
  24/07/1917,,,,,,,,,
  25/07/1917,,,32.7,-117.2,     san diego california,            san diego usa,,,
  25/07/1917,,,,,,,,,
  26/07/1917,,,32.7,-117.2,     san diego california,            san diego usa,,,
  26/07/1917,,,,,,,,,
  27/07/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  27/07/1917,,,,,,,,,
  28/07/1917,,,32.7,-117.2,     san diego california,            san diego usa,,,
  28/07/1917,,,,,,,,,
  29/07/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  29/07/1917,,,,,,,,,
  30/07/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  30/07/1917,,,,,,,,,
  31/07/1917,,,55,-1.5,          ensenada mexico,                      tic,ensenada baja california,,
  31/07/1917,,,,,,,,,
  31/07/1917,,,,,,,,,
  31/07/1917,,,,,,,,,
  31/07/1917,,,,,,,,,
  31/07/1917,,,,,,,,,
  31/07/1917,,,,,,,,,
  31/07/1917,,,,,,,,,
  31/07/1917,,,,,,,,,
  31/07/1917,,,,,,,,,
  31/07/1917,,,,,,,,,
  31/07/1917,,,,,,,,,
  01/08/1917,,,55,-1.5,          ensenada mexico,                      tic,ensenada baja california,,
  01/08/1917,,,,,,,,,
  02/08/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  02/08/1917,,,,,,,,,
  03/08/1917,,,,,      san clemente island,,,,
  03/08/1917,,,,,,,,,
  04/08/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  04/08/1917,,,,,,,,,
  05/08/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  05/08/1917,,,,,,,,,
  06/08/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  06/08/1917,,,,,,,,,
  07/08/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  07/08/1917,,,,,,,,,
  08/08/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  08/08/1917,,,,,,,,,
  09/08/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  09/08/1917,,,,,,,,,
  10/08/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  10/08/1917,,,,,,,,,
  11/08/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  11/08/1917,,,,,,,,,
  12/08/1917,   31 45 N,  117 30 W,32.7,-117.2,          san diego calif,            san diego usa,north pacific,,
  12/08/1917,,,,,,,,,
  13/08/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  13/08/1917,,,,,,,,,
  14/08/1917,,,32.7,-117.2,en route from guadalupe island to san diego calif,            san diego usa,guadalupe island,29 1 51N,118 16 48W
  14/08/1917,,,,,,,,,
  15/08/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  15/08/1917,,,,,,,,,
  16/08/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  16/08/1917,,,,,,,,,
  17/08/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  17/08/1917,,,,,,,,,
  18/08/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  18/08/1917,,,,,,,,,
  19/08/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  19/08/1917,,,,,,,,,
  20/08/1917,,,32.7,-117.2,          san diego calif,            san diego usa,,,
  20/08/1917,,,,,,,,,
