  06/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  07/04/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  07/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  08/04/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  08/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  09/04/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  09/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  10/04/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  10/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  11/04/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  11/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/04/1935	        NA	        NA	      33.8	    -118.2	           long beach cal	               long beach	
  12/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  13/04/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  13/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  14/04/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  14/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  15/04/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  15/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  16/04/1935	        NA	        NA	      33.8	    -118.2	alongside standard gypsum co wharf long beach calif	               long beach	
  16/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  17/04/1935	        NA	        NA	      33.8	    -118.2	alongside standard gypsum co wharf long beach calif	               long beach	
  17/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  19/04/1935	        NA	        NA	      33.8	    -118.2	alongside standard gypsum co wharf long beach calif	               long beach	
  19/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  20/04/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  20/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  21/04/1935	        NA	        NA	      33.8	    -118.2	standard gypsum co wharf long beach calif	               long beach	
  21/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/04/1935	        NA	        NA	      33.8	    -118.2	standard gypsum co wharf long beach calif	               long beach	
  23/04/1935	        NA	        NA	      33.7	    -118.3	drydock bethlehem shipyard east san pedro calif	          san pedro calif	
  23/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  24/04/1935	        NA	        NA	      33.7	    -118.3	bethlehem shipyard dock east san pedro calif	          san pedro calif	
  24/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  25/04/1935	        NA	        NA	      33.7	    -118.3	in drydock bethleham shipyard east san pedro calif	          san pedro calif	
  25/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/04/1935	        NA	        NA	      33.7	    -118.3	in drydock bethleham shipyard east san pedro calif	          san pedro calif	
  26/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/04/1935	        NA	        NA	      33.7	    -118.3	east san pedro california	          san pedro calif	
  27/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  28/04/1935	        NA	        NA	      33.7	    -118.3	in drydock bethleham shipyard east san pedro calif	          san pedro calif	
  28/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  29/04/1935	        NA	        NA	      33.7	    -118.3	in drydock bethleham shipyard east san pedro calif	          san pedro calif	
  29/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  30/04/1935	        NA	        NA	      33.7	    -118.3	bethleham shipyard dock east san pedro calif	          san pedro calif	
  30/04/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/05/1935	        NA	        NA	      33.7	    -118.3	bethleham shipyard dock east san pedro calif	          san pedro calif	
  01/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  02/05/1935	        NA	        NA	      33.7	    -118.3	bethleham shipyard dock east san pedro calif	          san pedro calif	
  02/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  03/05/1935	        NA	        NA	      33.7	    -118.3	bethleham shipyard dock east san pedro calif	          san pedro calif	
  03/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  04/05/1935	        NA	        NA	      33.7	    -118.3	bethleham shipyard dock east san pedro calif	          san pedro calif	
  04/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  05/05/1935	        NA	        NA	      33.8	    -118.2	         long beach calif	               long beach	
  05/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  06/05/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  06/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  06/05/1935	        NA	        NA	      33.8	    -118.2	standard gypsum co wharf long beach california	               long beach	
  06/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  07/05/1935	        NA	        NA	      33.8	    -118.2	standard gypsum co wharf long beach california	               long beach	
  07/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  08/05/1935	        NA	        NA	      33.8	    -118.2	standard gypsum co wharf long beach california	               long beach	
  08/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  09/05/1935	        NA	        NA	      33.8	    -118.2	standard gypsum co wharf long beach california	               long beach	
  09/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  10/05/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  10/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  11/05/1935	        NA	        NA	      33.8	    -118.2	         long beach calif	               long beach	
  11/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/05/1935	        NA	        NA	      33.8	    -118.2	         long beach calif	               long beach	
  12/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  13/05/1935	        NA	        NA	      33.8	    -118.2	         long beach calif	               long beach	
  13/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  14/05/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  14/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  15/05/1935	        NA	        NA	      33.8	    -118.2	standard gypsum co wharf long beach california	               long beach	
  15/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  16/05/1935	        NA	        NA	      33.8	    -118.2	standard gypsum co wharf long beach california	               long beach	
  16/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  17/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  18/05/1935	        NA	        NA	      33.8	    -118.2	standard gypsum co wharf long beach california	               long beach	
  18/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  19/05/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  19/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  20/05/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  20/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  21/05/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  21/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/05/1935	        NA	        NA	      33.8	    -118.2	standard gypsum co wharf long beach california	               long beach	
  22/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  23/05/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  23/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  24/05/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  24/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  25/05/1935	        NA	        NA	      33.8	    -118.2	standard gypsum co wharf long beach california	               long beach	
  25/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/05/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  26/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/05/1935	        NA	        NA	      33.8	    -118.2	standard gypsum co wharf long beach california	               long beach	
  27/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  28/05/1935	        NA	        NA	      33.8	    -118.2	alongside pier 1 berth 48 long beach cal	               long beach	
  28/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  29/05/1935	        NA	        NA	      33.8	    -118.2	municipal pier 1 berth 48 long beach california	               long beach	
  29/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  30/05/1935	        NA	        NA	      33.8	    -118.2	municipal pier 1 berth 48 long beach california	               long beach	
  30/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  31/05/1935	        NA	        NA	      33.8	    -118.2	municipal pier 1 berth 48 long beach california	               long beach	
  31/05/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/06/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  01/06/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  02/06/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  02/06/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  03/06/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  03/06/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  07/06/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  08/06/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  08/06/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  09/06/1935	        NA	        NA	      33.8	    -118.2	standard gypsum co wharf long beach california	               long beach	
  09/06/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  10/06/1935	        NA	        NA	      33.8	    -118.2	standard gypsum co wharf long beach california	               long beach	
  10/06/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  14/06/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  15/06/1935	        NA	        NA	      33.8	    -118.2	standard gypsum co wharf long beach california	               long beach	
  15/06/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  16/06/1935	        NA	        NA	      33.8	    -118.2	standard gypsum co wharf long beach california	               long beach	
  16/06/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  17/06/1935	        NA	        NA	      33.8	    -118.2	standard gypsum co wharf long beach california	               long beach	
  17/06/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  20/06/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  21/06/1935	        NA	        NA	      32.7	    -117.2	     san diego california	            san diego usa	
  21/06/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/06/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  22/06/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  23/06/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  23/06/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  24/06/1935	        NA	        NA	      33.8	    -118.2	standard gypsum co wharf long beach california	               long beach	
  24/06/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  25/06/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/06/1935	        NA	        NA	      32.7	    -117.2	     san diego california	            san diego usa	
  26/06/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/06/1935	        NA	        NA	      32.7	    -117.2	     san diego california	            san diego usa	
